frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
121,3,[574.3499755859375 1030.785888671875 1101.010009765625 1425.3548583984375],car,[759.406982421875 1291.716552734375 922.5771484375 1335.69384765625],0.682820200920105,GX15UGJ,0.17810123181800433
122,3,[571.2238159179688 1035.9949951171875 1100.3021240234375 1430.98974609375],car,[747.9244384765625 1298.2509765625 901.9031982421875 1341.81298828125],0.6666873097419739,GX15OGJ,0.5155260474994345
123,3,[567.4232788085938 1041.70263671875 1099.8577880859375 1434.8016357421875],car,[755.4573974609375 1310.1689453125 897.7965087890625 1347.052734375],0.7026185393333435,GX15OGJ,0.41871809504500646
124,3,[566.126220703125 1045.73974609375 1098.8079833984375 1435.5872802734375],car,[756.2589111328125 1312.016357421875 900.2432861328125 1351.68994140625],0.8275343179702759,GX15OCJ,0.8015130553168722
125,3,[563.1021728515625 1051.3953857421875 1097.65576171875 1436.2933349609375],car,[752.3927612304688 1315.97900390625 905.2134399414062 1357.51806640625],0.8181102275848389,GX15OGJ,0.6198043449115479
126,3,[559.1389770507812 1057.11328125 1096.0665283203125 1436.238037109375],car,[743.5625 1325.7490234375 904.640625 1371.29931640625],0.7538530826568604,GX15OCJ,0.38596042226495064
127,3,[557.2594604492188 1059.50048828125 1095.33837890625 1435.4984130859375],car,[736.493408203125 1332.1451416015625 902.90283203125 1371.8863525390625],0.34082216024398804,GX15OCJ,0.5852797180955227
128,3,[553.4493408203125 1065.2347412109375 1093.7333984375 1434.8641357421875],car,[740.64794921875 1340.4287109375 900.186767578125 1378.48681640625],0.5015766620635986,GX15OCJ,0.4408893913667446
129,3,[549.8863525390625 1070.8564453125 1092.2591552734375 1433.8970947265625],car,[742.5123291015625 1343.7789306640625 906.8760986328125 1383.9188232421875],0.7913379669189453,GX15UCJ,0.18889998005140177
130,3,[547.0864868164062 1075.1888427734375 1091.91748046875 1432.75537109375],car,[746.820556640625 1348.287353515625 898.060791015625 1386.8935546875],0.6132068634033203,GX15OGJ,0.25913082730815606
131,3,[542.4639892578125 1080.884521484375 1090.253173828125 1434.1171875],car,[738.7159423828125 1356.432373046875 873.9566650390625 1399.26318359375],0.5307710766792297,GX15OCJ,0.37950129178656405
132,3,[538.6942138671875 1086.678955078125 1088.56591796875 1434.148193359375],car,[737.3474731445312 1366.908935546875 884.1029663085938 1405.948486328125],0.39931797981262207,GX15OGJ,0.37725867738880203
174,6,[1370.8802490234375 917.954345703125 1828.47021484375 1287.4918212890625],car,[1536.8885498046875 1158.62939453125 1676.6060791015625 1206.079345703125],0.30976197123527527,APOBJEQ,0.18741505458103064
175,6,[1371.3885498046875 921.027099609375 1831.4163818359375 1290.7425537109375],car,[1538.4140625 1161.9073486328125 1683.3193359375 1210.0584716796875],0.3195001780986786,APNEJEQ,0.140885371681427
182,6,[1374.5289306640625 945.487060546875 1845.7725830078125 1326.44677734375],car,[1549.547119140625 1192.1904296875 1695.8994140625 1232.60791015625],0.7149028778076172,AP05JED,0.24187148221974777
183,6,[1374.8841552734375 951.1817016601562 1847.446533203125 1333.1634521484375],car,[1552.2852783203125 1200.15771484375 1698.0736083984375 1243.51806640625],0.35449331998825073,AP05JEO,0.21103633872384508
185,6,[1376.2685546875 958.6763305664062 1851.3046875 1342.347412109375],car,[1549.988037109375 1213.782470703125 1689.855712890625 1251.4833984375],0.29372572898864746,APPSJED,0.10780057790716523
186,7,[627.8267211914062 876.0889892578125 1049.89501953125 1209.0787353515625],car,[776.0172119140625 1086.8369140625 895.4722900390625 1123.5185546875],0.38052329421043396,FEZZK,0.07092918567085096
188,6,[1379.521484375 970.6467895507812 1859.1854248046875 1358.9169921875],car,[1557.2308349609375 1224.974853515625 1688.9613037109375 1270.016845703125],0.4259001612663269,AP05JED,0.35296519271230037
189,6,[1380.0390625 974.9992065429688 1862.632080078125 1364.62451171875],car,[1551.306884765625 1229.3724365234375 1702.036376953125 1271.9461669921875],0.2764752507209778,APVSJED,0.20320515553597068
195,6,[1384.8233642578125 999.4757080078125 1877.654296875 1396.9952392578125],car,[1570.906982421875 1258.3260498046875 1716.069091796875 1296.0338134765625],0.25276079773902893,APU5JEO,0.1523181676662355
201,6,[1389.9095458984375 1025.859619140625 1893.3006591796875 1427.9859619140625],car,[1582.286865234375 1288.3258056640625 1733.26123046875 1331.5137939453125],0.6794586777687073,ZPU5JED,0.07184476523913329
201,7,[589.2423095703125 929.45654296875 1049.88037109375 1276.3270263671875],car,[748.1612548828125 1151.6875 867.2589111328125 1187.372314453125],0.569098711013794,DISZE,0.026089946819327078
202,7,[585.7507934570312 931.9613037109375 1051.6201171875 1279.2437744140625],car,[746.069580078125 1154.6514892578125 865.3011474609375 1188.6544189453125],0.3246254622936249,HEZE,0.1078079417347908
203,7,[584.6298828125 935.7130126953125 1044.6392822265625 1285.669921875],car,[740.3515625 1157.974609375 872.1357421875 1193.723876953125],0.35988399386405945,MHEEZE,0.11817126667812035
205,7,[580.5836181640625 940.5001831054688 1041.0467529296875 1295.1328125],car,[728.4769287109375 1164.11962890625 864.1492919921875 1202.16259765625],0.2548438608646393,MZ,0.18228047885968338
208,7,[570.603271484375 949.585693359375 1035.3345947265625 1310.2000732421875],car,[722.7386474609375 1181.8358154296875 854.1375732421875 1218.9940185546875],0.28834861516952515,EEZZ,0.0889592245221138
209,7,[568.4544677734375 952.777587890625 1033.04345703125 1315.022705078125],car,[720.859130859375 1182.9112548828125 854.2000732421875 1222.0423583984375],0.5311002731323242,FEZZ,0.06998699903488159
210,7,[566.6268920898438 955.2844848632812 1033.2952880859375 1319.8863525390625],car,[721.2908325195312 1187.662841796875 857.2957153320312 1226.065185546875],0.4384685158729553,EHEZZP,0.32326188381493837
212,7,[561.1895141601562 965.7496337890625 1031.6827392578125 1330.2257080078125],car,[715.0595703125 1194.076904296875 854.8046875 1233.326416015625],0.3616226315498352,EH05ZZR,0.09187625410738064
215,7,[551.5275268554688 976.2528686523438 1028.60302734375 1346.198486328125],car,[709.2269287109375 1214.9866943359375 840.3135986328125 1251.3836669921875],0.42990484833717346,HHOSZZEI,0.10793451953945052
216,7,[546.6893920898438 980.3168334960938 1030.9102783203125 1350.107421875],car,[705.8291015625 1217.925537109375 839.710693359375 1255.113037109375],0.36608174443244934,HHSZZK,0.1389484928197644
222,7,[527.71484375 1001.294921875 1020.5578002929688 1384.067138671875],car,[689.28515625 1249.082763671875 825.572265625 1287.68896484375],0.6256307363510132,KEZ,0.7761040552213042
223,7,[525.2698974609375 1006.3131103515625 1023.3777465820312 1388.2978515625],car,[687.63232421875 1254.378173828125 824.094482421875 1290.106689453125],0.5330538749694824,KHDSZE,0.046479160001039264
227,7,[510.8340759277344 1025.28759765625 1000.9349975585938 1410.75537109375],car,[676.49755859375 1278.314453125 815.289794921875 1315.242919921875],0.2727414071559906,DL,0.12318731834780404
228,7,[507.1025085449219 1032.7469482421875 1008.7098999023438 1417.341064453125],car,[677.8556518554688 1283.40625 815.0459594726562 1319.98193359375],0.3486992120742798,LRNS17,0.014203293222273648
229,7,[505.30645751953125 1036.912109375 1001.4892578125 1420.95849609375],car,[672.6575927734375 1283.8472900390625 814.4085693359375 1321.9891357421875],0.29448401927948,DNDSZ,0.15115292644858208
233,7,[491.95489501953125 1057.278076171875 992.1671752929688 1435.45947265625],car,[656.785400390625 1307.4761962890625 802.52197265625 1347.6898193359375],0.34316518902778625,HZZE,0.5408362150192261
